dataset,n_episodes,n_frames,total_episodes_meta,total_frames_meta,fps,original_fps,downsample_stride,robot_type,codebase_version,n_video_keys,camera_key,height,width,codec,pix_fmt,len_min,len_p25,len_median,len_p75,len_max,len_mean,n_short_lt16,n_windows_lt16,n_tasks,task_sample,action_dim,action_names,state_dim,action_rows,action_nan,a_main_shoulder_pan_mean,a_main_shoulder_pan_std,a_main_shoulder_pan_min,a_main_shoulder_pan_max,a_main_shoulder_lift_mean,a_main_shoulder_lift_std,a_main_shoulder_lift_min,a_main_shoulder_lift_max,a_main_elbow_flex_mean,a_main_elbow_flex_std,a_main_elbow_flex_min,a_main_elbow_flex_max,a_main_wrist_flex_mean,a_main_wrist_flex_std,a_main_wrist_flex_min,a_main_wrist_flex_max,a_main_wrist_roll_mean,a_main_wrist_roll_std,a_main_wrist_roll_min,a_main_wrist_roll_max,a_main_gripper_mean,a_main_gripper_std,a_main_gripper_min,a_main_gripper_max,a_left_shoulder_pan_mean,a_left_shoulder_pan_std,a_left_shoulder_pan_min,a_left_shoulder_pan_max,a_left_shoulder_lift_mean,a_left_shoulder_lift_std,a_left_shoulder_lift_min,a_left_shoulder_lift_max,a_left_elbow_flex_mean,a_left_elbow_flex_std,a_left_elbow_flex_min,a_left_elbow_flex_max,a_left_wrist_flex_mean,a_left_wrist_flex_std,a_left_wrist_flex_min,a_left_wrist_flex_max,a_left_wrist_roll_mean,a_left_wrist_roll_std,a_left_wrist_roll_min,a_left_wrist_roll_max,a_left_gripper_mean,a_left_gripper_std,a_left_gripper_min,a_left_gripper_max
00ri/so100_battery,50,4872,50,4872,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,76,90.0,100.0,104.0,119,97.44,0,0,1,Grasp a battery and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4872,0,-4.33,18.08,-59.77,48.25,137.258,46.574,42.01,189.49,125.226,38.949,21.18,167.26,68.377,10.062,31.73,96.33,-0.633,27.377,-84.29,90.62,2.839,5.928,-0.18,35.68,,,,,,,,,,,,,,,,,,,,,,,,
00ri/so100_battery_bin_center,50,3562,50,3562,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,61.0,69.5,78.75,111,71.24,1,1,1,Grasp a battery and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3562,0,2.038,15.981,-45.97,71.19,136.585,44.162,48.34,185.89,131.693,37.854,22.5,169.89,63.15,11.948,23.2,83.94,0.23,28.268,-89.38,94.75,3.258,7.156,-0.09,37.78,,,,,,,,,,,,,,,,,,,,,,,,
356c/so100_duck_reposition_1,60,9773,60,9773,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,130,154.75,166.0,175.5,179,162.88,0,0,1,Grasp tool and reposition duck,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,9773,0,7.114,15.456,-40.87,61.35,126.355,41.83,61.26,195.47,133.356,32.901,60.82,185.36,58.945,15.596,-44.38,97.91,-81.41,13.102,-122.7,17.31,2.702,8.306,-0.36,49.76,,,,,,,,,,,,,,,,,,,,,,,,
356c/so100_nut_sort_1,60,8698,60,8698,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,80,117.0,141.5,169.75,220,144.97,0,0,1,Pick nuts and sort by color.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,8698,0,2.411,14.681,-41.04,39.55,127.278,44.002,58.36,195.47,132.587,32.709,70.14,186.59,57.106,9.441,1.58,89.47,-73.286,12.96,-104.59,14.33,38.004,14.133,0.0,65.38,,,,,,,,,,,,,,,,,,,,,,,,
AndrejOrsula/lerobot_double_ball_stacking_random,41,2886,41,2886,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,40,61.0,69.0,78.0,113,70.39,0,0,1,Stack the balls on top of each other.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2886,0,4.292,31.514,-87.28,74.27,103.806,37.573,19.95,195.03,77.736,44.686,-14.77,172.97,82.27,17.116,26.37,107.75,-88.515,14.568,-136.93,-29.88,27.7,21.535,-0.29,99.61,,,,,,,,,,,,,,,,,,,,,,,,
Bartm3/dice2,197,13216,197,13216,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,18,59.0,66.0,74.0,106,67.09,0,0,1,Grasp a dice and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,13216,0,-5.365,20.133,-54.32,52.73,134.962,50.875,40.96,191.42,142.658,32.253,26.89,178.0,32.075,32.171,-84.38,103.54,58.323,43.058,-18.19,136.58,7.899,11.29,-0.4,37.14,,,,,,,,,,,,,,,,,,,,,,,,
Beegbrain/pick_lemon_and_drop_in_bowl,40,3087,40,3087,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,62,70.75,76.0,80.25,101,77.17,0,0,1,Pick the yellow lemon and drop it in the red bowl,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3087,0,-4.267,18.919,-42.63,60.12,114.936,50.936,27.16,189.67,103.254,51.292,-9.76,181.05,71.048,13.258,27.77,101.16,-4.854,21.101,-101.43,54.76,15.791,22.489,0.0,66.04,,,,,,,,,,,,,,,,,,,,,,,,
Beegbrain/pick_place_green_block,40,3466,40,3466,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,72,79.75,83.5,94.25,104,86.65,0,0,1,pick the green block and place it in the red cup,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3466,0,0.092,27.182,-90.44,85.25,121.788,44.634,27.95,189.49,104.641,46.704,-0.35,174.46,73.766,11.917,45.53,99.49,1.172,23.016,-86.66,78.57,8.912,16.275,-0.09,56.62,,,,,,,,,,,,,,,,,,,,,,,,
Beegbrain/sweep_tissue_cube,30,3225,30,3225,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,60,89.25,99.0,121.75,179,107.5,0,0,1,Sweep the red cubes to the right with the tissue bag,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3225,0,1.745,24.149,-57.92,85.08,99.493,44.624,27.95,189.58,107.63,38.163,17.75,183.25,53.515,13.378,-9.23,101.07,-5.583,20.988,-127.0,41.13,0.001,0.086,-0.09,3.37,,,,,,,,,,,,,,,,,,,,,,,,
CSCSXX/pick_place_cube_1.18,50,3319,50,3319,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,44,60.25,65.0,72.0,84,66.38,0,0,1,pick-place-cube,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3319,0,10.261,20.228,-53.53,50.19,135.454,35.121,59.24,192.66,131.139,28.916,57.48,177.71,46.915,23.236,-22.94,102.3,-7.798,19.154,-86.92,35.51,12.732,14.672,-0.28,51.17,,,,,,,,,,,,,,,,,,,,,,,,
